name	code	molecule	sub_model	marker_info	cluster_identity	ref_sequences	tree_tool	poly-params	lowest_reliable_rank	last_updated	description
#nifH	N0402	prot	PROTGAMMALG	functional	0.95	301	FastTree	-6.48773434909,6.41218539511	Phyla	04_Dec_2018	
#nirK	D0301	prot	PROTGAMMALG	functional	0.97	120	FastTree	-11.8842768413,6.77906128214	Orders	04_Dec_2018	
#nirS	D0302	prot	PROTGAMMALG	functional	0.97	184	FastTree	-5.49173161577,6.23728973299	Classes	04_Dec_2018	
#norB	D0501	prot	PROTGAMMALG	functional	0.80	329	FastTree	-7.6070183552,6.48567258868	Orders	04_Dec_2018	
#norC	D0502	prot	PROTGAMMALG	functional	0.90	223	FastTree	-6.61551453189,6.60317398186	Classes	04_Dec_2018	
#norC	D0502	prot	PROTGAMMALG	functional	0.90	223	RAxML	-5.3221,6.3809	Classes	08_Dec_2018	nitric oxide reductase subunit C
#p_amoA	N0102	prot	PROTGAMMALG	functional	0.97	80	FastTree	-2.83232814805,5.67790899421	Families	04_Dec_2018	
#nosZ	D0601	prot	PROTGAMMALG	functional	0.95	449	FastTree	-6.1988,6.095	Phyla	13_Mar_2019
nosZ	D0601	prot	PROTGAMMALG	functional	0.95	449	RAxML	-7.9763,6.2277	Phyla	16_Mar_2019	
#McrA	M0701	prot	PROTGAMMALG	functional	0.97	228	RAxML	-5.3509,7.0	Classes	29_Apr_2019	Methyl coenzyme M reductase alpha subunit
NrfA	D0102	prot	PROTGAMMALG	functional	0.95	345	FastTree	-3.9855,7.0	Phyla	14_May_2019	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]
DsrAB	S0001	prot	PROTGAMMALG	functional	0.95	753	RAxML	-6.2949,7.0	Kingdoms	16_May_2019	Dissimilatory sulfite reductase alpha/beta subunits [EC:1.8.99.5]
NxrA	N0301	prot	PROTGAMMALG	functional	0.90	993	FastTree	-5.4813,7.0	Classes	23_May_2019	Nitrate reductase / Nitrite oxidoreductase subunit A
NxrB	N0302	prot	PROTGAMMALG	functional	0.97	299	FastTree	-6.2768,7.0	Phyla	13_Jun_2019	Nitrite oxidoreductase subunit B
HydA	H0001	prot	PROTGAMMALG	functional	0.9	1100	FastTree	-8.134,7.0	Kingdoms	29_Jun_2019	H-cluster of [FeFe]-hydrogenase (PF02906 & PF02256)
NorB	D0501	prot	PROTGAMMALG	functional	0.90	429	RAxML	-5.2635,7.0	Orders	01_Jul_2019	nitric oxide reductase subunit B
GH101	G0101	prot	PROTGAMMALG	functional	0.95	118	FastTree	0.0,7.0	Orders	25_Jul_2019	
GH163	G0163	prot	PROTGAMMALG	functional	0.97	75	FastTree	0.0,7.0	Classes	25_Jul_2019	
GH20	G0020	prot	PROTGAMMALG	functional	0.75	1159	FastTree	-4.689,6.3935	Phyla	26_Feb_2019	Glycoside hydrolase family 20
GH94	C0094	prot	PROTGAMMALG	functional	0.90	486	FastTree	-4.27462347201,6.34905731298	Classes	16_Dec_2018	Glycoside hydrolase family 94
p_amoA	N0102	prot	PROTGAMMALG	functional	0.97	182	RAxML	-5.4116,7.0	Families	29_Aug_2019	Ammonia monooxygenase (Archaea) and particulate methane monoxygenase
NirK	D0301	prot	PROTGAMMALG	functional	0.97	202	FastTree	-8.4127,7.0	Classes	10_Jan_2020	nitrite reductase (NO-forming)
McrA	M0701	prot	PROTGAMMALG	functional	0.97	246	FastTree	-11.3817,7.0	Kingdoms	23_Jan_2020	Methyl coenzyme M reductase alpha subunit
CdhA	C1152	prot	PROTGAMMALG	functional	0.97	101	FastTree	-4.9551,7.0	Classes	17_Feb_2020	
MtrA	C4063	prot	PROTGAMMALG	functional	0.97	77	FastTree	-2.4158,7.0	Kingdoms	17_Feb_2020	
MtrC	C4061	prot	PROTGAMMALG	functional	0.97	44	FastTree	-2.9575,7.0	Orders	17_Feb_2020	
MtrH	C1962	prot	PROTGAMMALG	functional	0.97	64	FastTree	-2.0185,7.0	Kingdoms	17_Feb_2020	
DUF2102	C4029	prot	PROTGAMMALG	functional	0.97	49	FastTree	-2.6131,7.0	Orders	17_Feb_2020	
DUF2112	C1888	prot	PROTGAMMALG	functional	0.97	89	FastTree	-4.0715,7.0	Kingdoms	17_Feb_2020	
AckA	C0282	prot	PROTGAMMALG	functional	0.90	1177	FastTree	-5.6068,7.0	Kingdoms	17_Feb_2020	
PuhA	C3960	prot	PROTGAMMALG	functional	0.97	48	FastTree	-3.2471,7.0	Orders	17_Feb_2020	
DsrC	S2920	prot	PROTGAMMALG	functional	0.95	351	FastTree	-3.4643,7.0	Kingdoms	17_Feb_2020	
RpoB	P0002	prot	PROTGAMMALG	functional	0.85	599	FastTree	-6.7201,7.0	Phyla	17_Feb_2020	Beta subunit of RNA polymerase
GyrA	T0188	prot	PROTGAMMALG	functional	0.85	1499	FastTree	-5.3136,7.0	Families	17_Feb_2020	
IleS	T0060	prot	PROTGAMMALG	functional	0.90	1281	FastTree	-5.2916,7.0	Phyla	17_Feb_2020	
PheT	T0072	prot	PROTGAMMALG	taxonomic	0.95	294	FastTree	-3.5004,7.0	Kingdoms	20_Feb_2020	
PheS	T0016	prot	PROTGAMMALG	taxonomic	0.75	2534	FastTree	-6.1463,7.0	Kingdoms	20_Feb_2020	
