LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NapA,Root | SP|P39185|NAPA_ALCEU/2-831
64_NapA,Bosea sp. LC85 | 1502851.FG93_05987
65_NapA,Bosea sp. UNC402CLCol | 1510531.JQJJ01000009_gene1054
66_NapA,Bradyrhizobium elkanii WSM2783 | 1038860.AXAP01000008_gene5874
67_NapA,Bradyrhizobium elkanii USDA 76 | 398525.KB900701_gene5692
68_NapA,Bradyrhizobium japonicum USDA 124 | 1038862.KB893895_gene7231
69_NapA,Bradyrhizobium japonicum 22 | 1304877.KI519400_gene1090
70_NapA,Bradyrhizobium murdochi | 1038859.AXAU01000003_gene5932
71_NapA,Bradyrhizobium murdochi | 1038859.AXAU01000013_gene6523
72_NapA,Bradyrhizobium sp. ARR65 | 1040989.AWZU01000034_gene2252
73_NapA,Bradyrhizobium sp. ARR65 | 1040989.AWZU01000037_gene7289
74_NapA,Bradyrhizobium sp. Ec3.3 | 189753.AXAS01000035_gene1325
75_NapA,Bradyrhizobium sp. ORS 278 | 114615.BRADO2476
76_NapA,Bradyrhizobium sp. Tv2a-2 | 113395.AXAI01000001_gene3150
77_NapA,Bradyrhizobium sp. URHA0002 | 1298867.AUES01000013_gene5380
78_NapA,Bradyrhizobium sp. URHD0069 | 1380355.JNIJ01000021_gene3732
79_NapA,Rhodopseudomonas palustris BisA53 | 316055.RPE_1258
80_NapA,Rhodopseudomonas palustris HaA2 | 316058.RPB_1752
81_NapA,Falsochrobactrum shanghaiense | tr|A0A316J4J9|A0A316J4J9_9HYPH
82_NapA,Chelatococcus sp. CO-6 | tr|A0A0K2DJ89|A0A0K2DJ89_9HYPH
83_NapA,Chelatococcus sp. GW1 | 1211115.ALIQ01000105_gene964
84_NapA,Chelatococcus sp. GW1 | 1211115.ALIQ01000219_gene1389
85_NapA,Cohaesibacter gelatinilyticus | tr|A0A285NDS0|A0A285NDS0_9HYPH
86_NapA,Hyphomicrobiaceae | tr|A0A3N5N3V6|A0A3N5N3V6_9HYPH
87_NapA,Devosia sp. LC5 | 1502724.FF80_01995
88_NapA,Hyphomicrobium denitrificans ATCC 51888 | 582899.Hden_2953
89_NapA,Hyphomicrobium denitrificans 1NES1 | 670307.HYPDE_25588
90_NapA,Hyphomicrobium sp. MC1 | 717785.HYPMC_3970
91_NapA,Hyphomicrobium zavarzinii ATCC 27496 | 1267005.KB911257_gene973
92_NapA,Hyphomicrobium zavarzinii ATCC 27496 | 1267005.KB911259_gene3796
93_NapA,Pelagibacterium halotolerans B2 | 1082931.KKY_2327
94_NapA,Methylobacterium nodulans ORS 2060 | 460265.Mnod_2865
95_NapA,Methylobacterium oryzae CBMB20 | 693986.MOC_2719
96_NapA,Methylobacterium sp. | tr|A0A389MNF7|A0A389MNF7_9HYPH
97_NapA,Methylobacterium sp. 10 | 1101191.KI912577_gene2842
98_NapA,Methylobacterium sp. 4-46 | 426117.M446_1019
99_NapA,Methylobacterium sp. 4-46 | 426117.M446_6438
100_NapA,Methylobacterium sp. GXF4 | 1096546.WYO_0073
101_NapA,Methylorubrum populi BJ001 | 441620.Mpop_3417
102_NapA,Microvirga aerilata | 670292.JH26_12850
103_NapA,Microvirga flocculans | tr|A0A7W6IHV9|A0A7W6IHV9_9HYPH
104_NapA,Microvirga lotononidis | 864069.MicloDRAFT_00032580
105_NapA,Microvirga ossetica | tr|A0A1B2ERU2|A0A1B2ERU2_9HYPH
106_NapA,Methylocystis parvus OBBP | 1134912.AJTV01000009_gene1906
107_NapA,Methylocystis parvus OBBP | 1134912.AJTV01000015_gene366
108_NapA,Methylocystis sp. ATCC 49242 | 622637.KE124770_gene181
109_NapA,Methylocystis sp. SB2 | 743836.AYNA01000089_gene3256
110_NapA,Methylopila sp. 73B | 1120792.JAFV01000001_gene1394
111_NapA,Methylopila sp. M107 | 1101190.ARWB01000001_gene2806
112_NapA,Methylosinus sp. PW1 | 107636.JQNK01000009_gene3534
113_NapA,Methylosinus trichosporium OB3b | 595536.ADVE02000001_gene965
114_NapA,Pleomorphomonas oryzae DSM 16300 | 1122963.AUHB01000013_gene4628
115_NapA,Tepidicaulis marinus | 1333998.M2A_2301
116_NapA,Tepidicaulis marinus | 1333998.M2A_2388
117_NapA,Aminobacter ciceronei | tr|A0A7W3Q892|A0A7W3Q892_9HYPH
118_NapA,Chelativorans sp. BNC1 | 266779.Meso_1453
119_NapA,Hoeflea sp. BAL378 | 1547437.LL06_02705
120_NapA,Mesorhizobium amorphae CCNWGS0123 | 1082933.MEA186_30722
121_NapA,Mesorhizobium australicum WSM2073 | 754035.Mesau_02057
122_NapA,Mesorhizobium ciceri biovar biserrulae WSM1271 | 765698.Mesci_2644
123_NapA,Mesorhizobium erdmanii USDA 3471 | 1040983.AXAE01000009_gene5506
124_NapA,Mesorhizobium japonicum MAFF 303099 | 266835.14023282
125_NapA,Mesorhizobium loti CJ3sym | 1040982.AXAL01000012_gene898
126_NapA,Mesorhizobium metallidurans STM 2683 | 1297569.MESS2_1080004
127_NapA,Mesorhizobium sp. L2C084A000 | 1287116.X734_05070
128_NapA,Mesorhizobium sp. STM 4661 | 1297570.MESS4_110104
129_NapA,Mesorhizobium sp. URHC0008 | 1380350.JIAP01000017_gene4127
130_NapA,Mesorhizobium sp. WSM3626 | 1040987.AZUY01000021_gene1578
131_NapA,Nitratireductor basaltis | 472175.EL18_01910
132_NapA,Nitratireductor indicus C115 | 1231190.NA8A_07699
133_NapA,Phyllobacterium sp. YR531 | 1144343.PMI41_03305
134_NapA,Agrobacterium albertimagni AOL15 | 1156935.QWE_02985
135_NapA,Agrobacterium albertimagni AOL15 | 1156935.QWE_06713
136_NapA,Agrobacterium rhizogenes | 359.CN09_32575
137_NapA,Agrobacterium tumefaciens CCNWGS0286 | 1082932.ATCR1_12753
138_NapA,Agrobacterium tumefaciens str. Cherry 2E-2-2 | 1281779.H009_01779
139_NapA,Agrobacterium vitis S4 | 311402.Avi_5892
140_NapA,Ensifer adhaerens (Sinorhizobium morelense) | tr|A0A0L8BQN3|A0A0L8BQN3_ENSAD
141_NapA,Ensifer sojae CCBAU 05684 | 716928.AJQT01000039_gene1473
142_NapA,Ensifer sp. BR816 | 1057002.KB905370_gene3322
143_NapA,Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141 | 1028801.RG1141_CH33430
144_NapA,Neorhizobium sp. S3-V5DH | tr|A0A4R3XHQ0|A0A4R3XHQ0_9HYPH
145_NapA,Neorhizobium vignae | 690585.JNNU01000002_gene5353
146_NapA,Rhizobium acidisoli | tr|A0A0N1MEY7|A0A0N1MEY7_9HYPH
147_NapA,Rhizobium alamii | 492774.JQMB01000003_gene2842
148_NapA,Rhizobium giardinii bv. giardinii H152 | 1041139.KB902685_gene1347
149_NapA,Rhizobium leucaenae USDA 9039 | 1041147.AUFB01000006_gene2245
150_NapA,Rhizobium selenitireducens ATCC BAA-1503 | 1336235.JAEG01000009_gene2912
151_NapA,Rhizobium sp. 2MFCol3.1 | 1246459.KB898355_gene4523
152_NapA,Rhizobium sp. CCGE 510 | 1132836.RCCGE510_06767
153_NapA,Rhizobium sp. CF097 | 1500301.JQMF01000034_gene4398
154_NapA,Rhizobium sp. IBUN | 1042326.AZNV01000001_gene5425
155_NapA,Rhizobium sp. OK494 | 1500306.JQLA01000003_gene4455
156_NapA,Rhizobium sp. Root1220 | tr|A0A0Q6W5P4|A0A0Q6W5P4_9HYPH
157_NapA,Rhizobium subbaraonis | tr|A0A285V3W5|A0A285V3W5_9HYPH
158_NapA,Rhizobium undicola ORS 992 = ATCC 700741 | 1370122.JHXQ01000005_gene3456
159_NapA,Shinella sp. DD12 | 1410620.SHLA_113c000090
160_NapA,Shinella sp. DD12 | tr|A0A021XBM1|A0A021XBM1_9HYPH
161_NapA,Sinorhizobium americanum CCGM7 | 1408224.SAMCCGM7_c3965
162_NapA,Sinorhizobium arboris LMG 14919 | 935557.ATYB01000008_gene4740
163_NapA,Sinorhizobium medicae WSM419 | 366394.Smed_5491
164_NapA,Labrenzia aggregata IAM 12614 | 384765.SIAM614_16387
165_NapA,Labrenzia aggregata IAM 12614 | 384765.SIAM614_31581
166_NapA,Pannonibacter phragmitetus DSM 14782 | 1122929.KB908237_gene2980
167_NapA,Pseudovibrio sp. FO-BEG1 | 911045.PSE_2102
168_NapA,Pseudovibrio sp. FO-BEG1 | 911045.PSE_4543
169_NapA,Roseibium album | tr|A0A0M6YRW8|A0A0M6YRW8_9HYPH
170_NapA,Roseibium sp. RKSG952 | tr|A0A6N8ABH8|A0A6N8ABH8_9HYPH
171_NapA,Roseibium sp. TrichSKD4 | 744980.TRICHSKD4_3402
172_NapA,Stappia sp. GBMRC 2046 | tr|A0A7X3LRU1|A0A7X3LRU1_9HYPH
173_NapA,Azorhizobium caulinodans ORS 571 | 438753.AZC_0679
174_NapA,Azorhizobium doebereinerae UFLA1-100 | 1038858.AXBA01000027_gene1379
175_NapA,Starkeya novella DSM 506 | 639283.Snov_0406
176_NapA,Xanthobacter autotrophicus Py2 | 78245.Xaut_1078
177_NapA,Xanthobacter autotrophicus Py2 | 78245.Xaut_2497
178_NapA,Xanthobacter sp. 126 | 1131814.JAFO01000001_gene510
179_NapA,Hirschia baltica ATCC 49814 | 582402.Hbal_2779
180_NapA,Hirschia baltica ATCC 49814 | 582402.Hbal_2846
181_NapA,Hirschia maritima DSM 19733 | 551275.KB899545_gene2982
182_NapA,Hyphomonas sp. CY54-11-8 | 1280944.HY17_07930
183_NapA,Ponticaulis koreensis DSM 19734 | 551789.ATVJ01000001_gene2543
184_NapA,Magnetococcus marinus MC-1 | 156889.Mmc1_1591
185_NapA,Magnetofaba australis | tr|A0A1Y2K9Z3|A0A1Y2K9Z3_9PROT
186_NapA,Parvularcula bermudensis HTCC2503 | 314260.PB2503_13589
187_NapA,Rhodobacterales | tr|A0A1Y5HL18|A0A1Y5HL18_9RHOB
188_NapA,Rhodobacteraceae | tr|A0A2E8PIC1|A0A2E8PIC1_9RHOB
189_NapA,Rhodobacteraceae | tr|A0A3N9QE81|A0A3N9QE81_9RHOB
190_NapA,Actibacterium atlanticum | 1461693.ATO10_04622
191_NapA,Amaricoccus macauensis | tr|A0A840SF37|A0A840SF37_9RHOB
192_NapA,Boseongicola sp. | tr|A0A7D7ZIM0|A0A7D7ZIM0_9RHOB
193_NapA,Celeribacter baekdonensis B30 | 1208323.B30_11100
194_NapA,Cereibacter azotoformans | tr|A0A2T5KA66|A0A2T5KA66_9RHOB
195_NapA,Cereibacter ovatus | tr|A0A285CP78|A0A285CP78_9RHOB
196_NapA,Cereibacter sphaeroides (Rhodobacter sphaeroides) | tr|A0A239MAH8|A0A239MAH8_CERSP
197_NapA,Cereibacter sphaeroides (Rhodobacter sphaeroides) | tr|A4WXJ2|A4WXJ2_CERS5
198_NapA,Citreicella sp. 357 | 766499.C357_02731
199_NapA,Citreicella sp. SE45 | 501479.ACNW01000089_gene2377
200_NapA,Dinoroseobacter shibae DFL 12 = DSM 16493 | 398580.Dshi_1669
201_NapA,Dinoroseobacter shibae DFL 12 = DSM 16493 | 398580.Dshi_3165
202_NapA,Haematobacter massiliensis | 195105.CN97_18695
203_NapA,Histidinibacterium sp. 176SS1-4 | tr|A0A5J5GLL2|A0A5J5GLL2_9RHOB
204_NapA,Jannaschia sp. CCS1 | 290400.Jann_3045
205_NapA,Leisingera daeponensis DSM 23529 | 999547.KI421500_gene3240
206_NapA,Leisingera sp. ANG1 | 1002340.AFCF01000024_gene1216
207_NapA,Limimaricola cinnabarinus LL-001 | 1337093.MBE-LCI_3126
208_NapA,Maritimibacter alkaliphilus HTCC2654 | 314271.RB2654_12459
209_NapA,Maritimibacter sp. | tr|A0A2D8PD46|A0A2D8PD46_9RHOB
210_NapA,Oceanicola sp. MCTG156(1a) | 1415756.JQMY01000001_gene3623
211_NapA,Oceanicola sp. MCTG156(1a) | 1415756.JQMY01000001_gene435
212_NapA,Paenirhodobacter enshiensis | 1105367.CG50_11340
213_NapA,Palleronia rufa | 1530186.JQEY01000001_gene654
214_NapA,Paracoccus denitrificans PD1222 | 318586.Pden_4449
215_NapA,Paracoccus halophilus | 376733.IT41_19005
216_NapA,Paracoccus sp. J39 | 935848.JAEN01000013_gene4088
217_NapA,Paracoccus sp. N5 | 1101189.AQUO01000003_gene3606
218_NapA,Paracoccus sp. PAMC 22219 | 1569209.BBPH01000008_gene3138
219_NapA,Paracoccus yeei ATCC BAA-599 | 1446473.JHWH01000023_gene2920
220_NapA,Paracoccus zeaxanthinifaciens ATCC 21588 | 1266998.ATUJ01000002_gene1848
221_NapA,Parasedimentitalea marina | tr|A0A3T0N0F7|A0A3T0N0F7_9RHOB
222_NapA,Pseudooceanicola atlanticus | 1461694.ATO9_17210
223_NapA,Pseudooceanicola nanhaiensis DSM 18065 | 1122614.JHZF01000011_gene699
224_NapA,Pseudophaeobacter arcticus DSM 23566 | 999550.KI421507_gene3566
225_NapA,Qingshengfaniella alkalisoli | tr|A0A5B8I5L2|A0A5B8I5L2_9RHOB
226_NapA,Rhodobacter capsulatus (Rhodopseudomonas capsulata) | tr|A0A4U1JQZ3|A0A4U1JQZ3_RHOCA
227_NapA,Rhodobacter maris | tr|A0A285T6E8|A0A285T6E8_9RHOB
228_NapA,Rhodovulum sp. NI22 | 1469613.JT55_01495
229_NapA,Rhodovulum sp. PH10 | 1187851.A33M_3249
230_NapA,Roseobacter litoralis Och 149 | 391595.RLO149_c039830
231_NapA,Roseobacter sp. GAI101 | 391589.RGAI101_937
232_NapA,Roseobacter sp. MED193 | 314262.MED193_11324
233_NapA,Roseobacter sp. SK209-2-6 | 388739.RSK20926_01712
234_NapA,Roseovarius albus | tr|A0A1X6Y7F3|A0A1X6Y7F3_9RHOB
235_NapA,Roseovarius sp. 217 | 314264.ROS217_14811
236_NapA,Roseovarius sp. MCTG156(2b) | 1354722.JQLS01000008_gene1914
237_NapA,Roseovarius sp. TM1035 | 391613.RTM1035_16012
238_NapA,Ruegeria arenilitoris | tr|A0A238KWA2|A0A238KWA2_9RHOB
239_NapA,Ruegeria lacuscaerulensis ITI-1157 | 644107.SL1157_1185
240_NapA,Ruegeria marina | tr|A0A1G6VSD5|A0A1G6VSD5_9RHOB
241_NapA,Ruegeria marisrubri | tr|A0A117KGY4|A0A117KGY4_9RHOB
242_NapA,Ruegeria mediterranea | tr|A0A2R8CA85|A0A2R8CA85_9RHOB
243_NapA,Ruegeria sp. ANG-R | tr|A0A0C1J4T4|A0A0C1J4T4_9RHOB
244_NapA,Ruegeria sp. THAF57 | tr|A0A6V6ZQQ8|A0A6V6ZQQ8_9RHOB
245_NapA,Sagittula stellata E-37 | 388399.SSE37_24264
246_NapA,Salipiger bermudensis HTCC2601 | 314265.R2601_08196
247_NapA,Salipiger mucosus DSM 16094 | 1123237.Salmuc_00879
248_NapA,Shimia gijangensis | tr|A0A1M6JUN3|A0A1M6JUN3_9RHOB
249_NapA,Shimia haliotis | tr|A0A1I3ZYX0|A0A1I3ZYX0_9RHOB
250_NapA,Sulfitobacter donghicola DSW-25 = KCTC 12864 = JCM 14565 | 1300350.DSW25_13645
251_NapA,Sulfitobacter geojensis | 1342299.Z947_2763
252_NapA,Sulfitobacter noctilucicola | 1342301.JASD01000008_gene700
253_NapA,Sulfitobacter sp. 20_GPM-1509m | 1380367.JIBC01000004_gene2454
254_NapA,Sulfitobacter sp. EE-36 | 52598.EE36_08003
255_NapA,Thalassobacter stenotrophicus | 266809.PM03_07970
256_NapA,Thioclava pacifica DSM 10166 | 1353537.TP2_11525
257_NapA,Tropicimonas isoalkanivorans | tr|A0A1I1DJY6|A0A1I1DJY6_9RHOB
258_NapA,Vannielia litorea | tr|A0A1N6IDX1|A0A1N6IDX1_9RHOB
259_NapA,Yoonia vestfoldensis SKA53 | 314232.SKA53_09109
260_NapA,Enhydrobacter aerosaccus SK60 | 553217.ENHAE0001_1415
261_NapA,Rhodospirillales | tr|A0A1Q3VCB0|A0A1Q3VCB0_9PROT
262_NapA,Acetobacter malorum | 178901.AmDm5_0323
263_NapA,Acetobacter nitrogenifigens DSM 23921 = LMG 23498 | 1120919.AUBI01000006_gene599
264_NapA,Acetobacter pasteurianus 3P3 | 940282.CADQ01000023_gene2266
265_NapA,Acidiphilium angustum ATCC 35903 | 1408418.JNJH01000045_gene2623
266_NapA,Acidiphilium cryptum JF-5 | 349163.Acry_0345
267_NapA,Acidocella facilis ATCC 35904 | 1408419.JHYG01000006_gene2702
268_NapA,Asaia platycodi SF2.1 | 1382230.ASAP_1656
269_NapA,Belnapia moabensis DSM 16746 | 1121106.JQKB01000014_gene5721
270_NapA,Gluconobacter oxydans H24 | 1224746.B932_2991
271_NapA,Granulibacter bethesdensis CGDNIH1 | 391165.GbCGDNIH1_1725
272_NapA,Komagataeibacter rhaeticus AF1 | 1432055.GLUCORHAEAF1_02905
273_NapA,Roseomonas aerilata DSM 19363 | 1123060.JONP01000011_gene3033
274_NapA,Roseomonas gilardii subsp. rosea ATCC BAA-691 | 1336208.JADY01000001_gene1217
275_NapA,Roseomonas pecuniae | tr|A0A840Y8A0|A0A840Y8A0_9PROT
276_NapA,Azospirillaceae | tr|A0A0F2RME6|A0A0F2RME6_9PROT
277_NapA,Azospirillaceae | tr|A0A2A4U6Z3|A0A2A4U6Z3_9PROT
278_NapA,Azospirillaceae | tr|A0A2D6JYF9|A0A2D6JYF9_9PROT
279_NapA,Azospirillum brasilense | tr|A0A235H978|A0A235H978_AZOBR
280_NapA,Azospirillum griseum | tr|A0A431VDX1|A0A431VDX1_9PROT
281_NapA,Azospirillum halopraeferens DSM 3675 | 1121033.AUCF01000005_gene5302
282_NapA,Azospirillum halopraeferens DSM 3675 | 1121033.AUCF01000011_gene1773
283_NapA,Azospirillum ramasamyi | tr|A0A2U9SDC9|A0A2U9SDC9_9PROT
284_NapA,Azospirillum sp. K2W22B-5 | tr|A0A418VXM1|A0A418VXM1_9PROT
285_NapA,Azospirillum sp. TSH20 | tr|A0A2U1X6P8|A0A2U1X6P8_9PROT
286_NapA,Azospirillum sp. TSO22-1 | tr|A0A2U1VZZ3|A0A2U1VZZ3_9PROT
287_NapA,Azospirillum sp. TSO22-1 | tr|A0A2U1W233|A0A2U1W233_9PROT
288_NapA,Azospirillum thermophilum | tr|A0A2S2CYE7|A0A2S2CYE7_9PROT
289_NapA,Caenispirillum bisanense | tr|A0A286H1J8|A0A286H1J8_9PROT
290_NapA,Caenispirillum salinarum AK4 | 1238182.C882_0293
291_NapA,Caenispirillum salinarum AK4 | 1238182.C882_0733
292_NapA,Caenispirillum salinarum AK4 | 1238182.C882_3698
293_NapA,Dongia mobilis | tr|A0A4R6WRU6|A0A4R6WRU6_9PROT
294_NapA,Ferrovibrio sp. | tr|A0A2M8U5F5|A0A2M8U5F5_9PROT
295_NapA,Magnetospira sp. (strain QH-2) (Marine magnetic spirillum (strain QH-2)) | tr|W6K8P4|W6K8P4_MAGSQ
296_NapA,Magnetospirillum aberrantis | tr|A0A7C9UY43|A0A7C9UY43_9PROT
297_NapA,Magnetospirillum caucaseum | 1244869.H261_03508
298_NapA,Magnetospirillum caucaseum | 1244869.H261_07488
299_NapA,Magnetospirillum gryphiswaldense MSR-1 v2 | 1430440.MGMSRv2_0179
300_NapA,Magnetospirillum gryphiswaldense MSR-1 v2 | 1430440.MGMSRv2_2004
301_NapA,Magnetospirillum sp. 64-120 | tr|A0A1M3LZF3|A0A1M3LZF3_9PROT
302_NapA,Magnetospirillum sp. UT-4 | tr|A0A6J4FY31|A0A6J4FY31_9PROT
303_NapA,Magnetovibrio sp. | tr|A0A2D5XHK5|A0A2D5XHK5_9PROT
304_NapA,Magnetovibrio sp. | tr|A0A2E3P296|A0A2E3P296_9PROT
305_NapA,Novispirillum itersonii subsp. itersonii ATCC 12639 | 1279038.KB907342_gene2558
306_NapA,Rhodospirillum centenum SW | 414684.RC1_0457
307_NapA,Rhodovibrio salinarum DSM 9154 | 1089552.KI911559_gene897
308_NapA,Telmatospirillum siberiense | tr|A0A2N3PWW1|A0A2N3PWW1_9PROT
309_NapA,Telmatospirillum sp. | tr|A0A6A8QMT4|A0A6A8QMT4_9PROT
310_NapA,Thalassospira profundimaris WP0211 | 1177928.TH2_06078
311_NapA,Thalassospira xiamenensis M-5 = DSM 17429 | 1123366.TH3_09220
312_NapA,Thalassospira xiamenensis M-5 = DSM 17429 | 1123366.TH3_15759
313_NapA,Tistrella mobilis KA081020-065 | 1110502.TMO_2150
314_NapA,Varunaivibrio sulfuroxidans | tr|A0A4R3JA42|A0A4R3JA42_9PROT
315_NapA,Geminicoccus roseus DSM 18922 | 1089551.KE386572_gene1134
316_NapA,Aestuariispira insulae | tr|A0A3D9HRK1|A0A3D9HRK1_9PROT
317_NapA,Kiloniella laminariae DSM 19542 | 1122135.KB893167_gene2375
318_NapA,Kiloniella spongiae | tr|A0A0H2MF24|A0A0H2MF24_9PROT
319_NapA,Terasakiella pusilla DSM 6293 | 1123355.JHYO01000029_gene3742
320_NapA,Thalassobaculum litoreum | tr|A0A8G2BFP9|A0A8G2BFP9_9PROT
321_NapA,Oceanibacterium hippocampi | tr|A0A1Y5TFQ9|A0A1Y5TFQ9_9PROT
322_NapA,Erythrobacter cryptus DSM 12079 | 1122970.AUHC01000011_gene2703
323_NapA,Erythrobacter litoralis HTCC2594 | 314225.ELI_05855
324_NapA,Erythrobacter longus | 1044.EH31_02945
325_NapA,Erythrobacter sp. JL475 | 383381.EH30_15615
326_NapA,Blastomonas sp. AAP53 | 1248760.ANFZ01000009_gene1369
327_NapA,Blastomonas sp. AAP53 | 1248760.ANFZ01000014_gene2105
328_NapA,Novosphingobium aromaticivorans DSM 12444 | 279238.Saro_2776
329_NapA,Novosphingobium aromaticivorans DSM 12444 | 279238.Saro_2966
330_NapA,Novosphingobium lindaniclasticum LE124 | 1096930.L284_11745
331_NapA,Novosphingobium nitrogenifigens DSM 19370 | 983920.Y88_3469
332_NapA,Novosphingobium pentaromativorans US6-1 | 1088721.NSU_3468
333_NapA,Novosphingobium pentaromativorans US6-1 | 1088721.NSU_3501
334_NapA,Novosphingobium pentaromativorans US6-1 | 1088721.NSU_3568
335_NapA,Novosphingobium sp. AP12 | 1144305.PMI02_00423
336_NapA,Novosphingobium sp. AP12 | 1144305.PMI02_01755
337_NapA,Novosphingobium sp. PP1Y | 702113.PP1Y_AT9994
