LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1_NarI,Root | 1046724.KB889897_gene3336
76_NarI,Winkia neuii BV029A5 | 888439.HMPREF9240_01126
77_NarI,Winkia sp. C62 | tr|A0A8I0KR37|A0A8I0KR37_9ACTO
78_NarI,Catenulispora acidiphila DSM 44928 | 479433.Caci_4475
79_NarI,Catenulispora acidiphila DSM 44928 | 479433.Caci_5803
80_NarI,Tomitella biformata AHU 1821 | 1448389.BAVQ01000072_gene2680
81_NarI,Tomitella biformata AHU 1821 | 1448389.BAVQ01000088_gene1144
82_NarI,Corynebacteriales | tr|A0A516X0H4|A0A516X0H4_9ACTN
83_NarI,Corynebacterium accolens ATCC 49725 | 525260.HMPREF0276_0285
84_NarI,Corynebacterium ammoniagenes DSM 20306 | 649754.HMPREF0281_02027
85_NarI,Corynebacterium amycolatum | tr|A0A7U0DG82|A0A7U0DG82_CORAY
86_NarI,Corynebacterium atypicum | 191610.CATYP_06580
87_NarI,Corynebacterium camporealensis | tr|A0A0F6TB86|A0A0F6TB86_9CORY
88_NarI,Corynebacterium casei LMG S-19264 | 1285583.CCASEI_08715
89_NarI,Corynebacterium diphtheriae PW8 | 698964.CDPW8_0484
90_NarI,Corynebacterium doosanense CAU 212 = DSM 45436 | 558173.CDOO_05885
91_NarI,Corynebacterium durum F0235 | 1035195.HMPREF9997_00381
92_NarI,Corynebacterium efficiens YS-314 | 196164.23493132
93_NarI,Corynebacterium freiburgense DSM 45254 | 1121360.AUAQ01000015_gene1918
94_NarI,Corynebacterium freneyi | tr|A0A8F3P1W8|A0A8F3P1W8_9CORY
95_NarI,Corynebacterium glucuronolyticum | tr|A0A7T4EGN6|A0A7T4EGN6_9CORY
96_NarI,Corynebacterium glutamicum ATCC 13032 | 196627.cg1341
97_NarI,Corynebacterium halotolerans YIM 70093 = DSM 44683 | 1121362.A605_06040
98_NarI,Corynebacterium imitans | 156978.CIMIT_04945
99_NarI,Corynebacterium lizhenjunii | tr|A0A7T0PBB3|A0A7T0PBB3_9CORY
100_NarI,Corynebacterium lubricantis DSM 45231 | 1121363.KB902182_gene1610
101_NarI,Corynebacterium marinum | tr|A0A847H9Y2|A0A847H9Y2_9CORY
102_NarI,Corynebacterium maris DSM 45190 | 1224163.B841_05650
103_NarI,Corynebacterium matruchotii ATCC 14266 | 553207.HMPREF0299_5391
104_NarI,Corynebacterium phoceense | tr|A0A540R7L4|A0A540R7L4_9CORY
105_NarI,Corynebacterium pilosum DSM 20521 | 1121366.KB892439_gene446
106_NarI,Corynebacterium pollutisoli | tr|A0A1X7JLF6|A0A1X7JLF6_9CORY
107_NarI,Corynebacterium pseudotuberculosis | tr|A0A806R1X3|A0A806R1X3_CORPS
108_NarI,Corynebacterium pyruviciproducens ATCC BAA-1742 | 1125779.HMPREF1219_00309
109_NarI,Corynebacterium pyruviciproducens | tr|A0A2I1VUL3|A0A2I1VUL3_9CORY
110_NarI,Corynebacterium sp. J010B-136 | tr|A0A2S8CJW5|A0A2S8CJW5_9CORY
111_NarI,Corynebacterium sp. KPL1989 | 1203622.HMPREF1290_00628
112_NarI,Corynebacterium sp. YIM 101343 | tr|A0A3S0A1L3|A0A3S0A1L3_9CORY
113_NarI,Corynebacterium striatum ATCC 6940 | 525268.HMPREF0308_0116
114_NarI,Corynebacterium tapiri | tr|A0A5C4U5F5|A0A5C4U5F5_9CORY
115_NarI,Corynebacterium vitaeruminis DSM 20294 | 1224164.B843_02315
116_NarI,Corynebacterium xerosis | tr|A0A0M2XLC8|A0A0M2XLC8_9CORY
117_NarI,Dietzia alimentaria 72 | 1077144.AGFF01000005_gene2151
118_NarI,Dietzia maris | tr|A0A166PHU0|A0A166PHU0_9ACTN
119_NarI,Dietzia sp. | tr|A0A352QYG9|A0A352QYG9_9ACTN
120_NarI,Dietzia sp. ANT_WB102 | tr|A0A5A9ZLW2|A0A5A9ZLW2_9ACTN
121_NarI,Gordonia aichiensis NBRC 108223 | 1220583.GOACH_03_03210
122_NarI,Gordonia amarae NBRC 15530 | 1075090.GOAMR_28_00280
123_NarI,Gordonia amicalis CCMA-559 | 1386969.AWTB01000007_gene2734
124_NarI,Gordonia bronchialis DSM 43247 | 526226.Gbro_3702
125_NarI,Gordonia desulfuricans | tr|A0A7K3LKP7|A0A7K3LKP7_9ACTN
126_NarI,Gordonia hirsuta DSM 44140 = NBRC 16056 | 1121927.GOHSU_06_00330
127_NarI,Gordonia iterans | tr|A0A2S0KIM9|A0A2S0KIM9_9ACTN
128_NarI,Gordonia jinghuaiqii | tr|A0A7D7LQC6|A0A7D7LQC6_9ACTN
129_NarI,Gordonia malaquae NBRC 108250 | 1223542.GM1_002_01140
130_NarI,Gordonia neofelifaecis NRRL B-59395 | 644548.SCNU_09724
131_NarI,Gordonia pseudoamarae | tr|A0A857LDB2|A0A857LDB2_9ACTN
132_NarI,Gordonia rhizosphera NBRC 16068 | 1108045.GORHZ_051_00050
133_NarI,Gordonia rubripertincta (Rhodococcus corallinus) | tr|A0A7D7V0X1|A0A7D7V0X1_GORRU
134_NarI,Gordonia sihwensis NBRC 108236 | 1223544.GSI01S_08_01110
135_NarI,Gordonia sp. | tr|A0A2E1GE36|A0A2E1GE36_9ACTN
136_NarI,Gordonia sp. | tr|A0A433CKI4|A0A433CKI4_9ACTN
137_NarI,Gordonia sp. | tr|A0A847ICY1|A0A847ICY1_9ACTN
138_NarI,Gordonia sp. SID5947 | tr|A0A7K2HY24|A0A7K2HY24_9ACTN
139_NarI,Gordonia sputi NBRC 100414 | 1089453.GOSPT_122_00230
140_NarI,Gordonia terrae | 2055.JNXA01000013_gene2735
141_NarI,Gordonia terrae | tr|A0A6G7W486|A0A6G7W486_9ACTN
142_NarI,Skermania sp. ID1734 | tr|A0A554UWZ6|A0A554UWZ6_9ACTN
143_NarI,Hoyosella subflava DQS3-9A1 | 443218.AS9A_2095
144_NarI,Mycobacterium asiaticum DSM 44297 | 1265310.CCBD010000039_gene2257
145_NarI,Mycobacterium avium subsp. paratuberculosis K-10 | 262316.MAP_2617c
146_NarI,Mycobacterium celatum | tr|A0A1X1RHL8|A0A1X1RHL8_MYCCE
147_NarI,Mycobacterium celatum | tr|A0A1X1RUG0|A0A1X1RUG0_MYCCE
148_NarI,Mycobacterium colombiense CECT 3035 | 1041522.MCOL_V216928
149_NarI,Mycobacterium colombiense | tr|A0A329KDX2|A0A329KDX2_9MYCO
150_NarI,Mycobacterium diernhoferi | tr|A0A1Q4HFP8|A0A1Q4HFP8_9MYCO
151_NarI,Mycobacterium frederiksbergense | tr|A0A6H0RYJ4|A0A6H0RYJ4_9MYCO
152_NarI,Mycobacterium genavense ATCC 51234 | 1408452.JAGZ01000001_gene3719
153_NarI,Mycobacterium genavense ATCC 51234 | 1408452.JAGZ01000001_gene3720
154_NarI,Mycobacterium genavense ATCC 51234 | 1408452.JAGZ01000003_gene4932
155_NarI,Mycobacterium goodii (Mycolicibacterium goodii) | tr|A0A2M9F5D3|A0A2M9F5D3_MYCGD
156_NarI,Mycobacterium heckeshornense | tr|A0A2G8B2S4|A0A2G8B2S4_9MYCO
157_NarI,Mycobacterium heckeshornense | tr|A0A2G8B5P0|A0A2G8B5P0_9MYCO
158_NarI,Mycobacterium helveticum | tr|A0A557XRX3|A0A557XRX3_9MYCO
159_NarI,Mycobacterium intracellulare ATCC 13950 | 487521.OCU_12130
160_NarI,Mycobacterium kansasii 732 | 1299327.I546_0617
161_NarI,Mycobacterium kansasii 732 | 1299327.I546_1623
162_NarI,Mycobacterium kansasii ATCC 12478 | 557599.MKAN_07305
163_NarI,Mycobacterium kansasii ATCC 12478 | 557599.MKAN_19250
164_NarI,Mycobacterium kubicae | tr|A0A8E4KXC6|A0A8E4KXC6_9MYCO
165_NarI,Mycobacterium malmoense | tr|A0A8G1F0H4|A0A8G1F0H4_MYCMA
166_NarI,Mycobacterium pallens | tr|A0A8F9SDR0|A0A8F9SDR0_9MYCO
167_NarI,Mycobacterium paragordonae | tr|A0A386U9N9|A0A386U9N9_9MYCO
168_NarI,Mycobacterium parascrofulaceum ATCC BAA-614 | 525368.HMPREF0591_5099
169_NarI,Mycobacterium rufum | 318424.EU78_08355
170_NarI,Mycobacterium sp. | tr|A0A3S0T1A6|A0A3S0T1A6_9MYCO
171_NarI,Mycobacterium sp. | tr|A0A522P1Y0|A0A522P1Y0_9MYCO
172_NarI,Mycobacterium sp. | tr|A0A5C7MY79|A0A5C7MY79_9MYCO
173_NarI,Mycobacterium sp. 360MFTsu5.1 | 1172186.KB911463_gene3390
174_NarI,Mycobacterium sp. JLS | 164757.Mjls_1286
175_NarI,Mycobacterium sp. KBS0706 | tr|A0A554U1B2|A0A554U1B2_9MYCO
176_NarI,Mycobacterium sp. UM_WGJ | 1370120.AUWR01000012_gene1253
177_NarI,Mycobacterium sp. UNC280MFTsu5.1 | 1449048.JQKU01000011_gene3095
178_NarI,Mycobacterium sp. URHD0025 | 1298864.AUEQ01000008_gene2445
179_NarI,Mycobacterium sp. URHD0025 | 1298864.AUEQ01000009_gene2661
180_NarI,Mycobacterium triplex | 47839.CCAU010000015_gene4217
181_NarI,Mycobacterium tuberculosis H37Ra | 419947.MRA_1175
182_NarI,Mycobacterium tuberculosis H37Ra | 419947.MRA_1747
183_NarI,Mycobacterium vicinigordonae | tr|A0A7D6HWP9|A0A7D6HWP9_9MYCO
184_NarI,Mycobacterium virginiense | tr|A0A2S8C4I9|A0A2S8C4I9_9MYCO
185_NarI,Mycobacterium xenopi | tr|X8C4Z3|X8C4Z3_MYCXE
186_NarI,Mycolicibacter kumamotonensis | tr|A0A1X0E9S5|A0A1X0E9S5_9MYCO
187_NarI,Mycolicibacter sinensis | 875328.JDM601_1152
188_NarI,Mycolicibacterium agri (Mycobacterium agri) | tr|A0A2A7MUL3|A0A2A7MUL3_MYCAG
189_NarI,Mycolicibacterium brumae | tr|A0A2G5PCK2|A0A2G5PCK2_9MYCO
190_NarI,Mycolicibacterium celeriflavum | tr|A0A1X0BR62|A0A1X0BR62_9MYCO
191_NarI,Mycolicibacterium chubuense NBB4 | 710421.Mycch_3945
192_NarI,Mycolicibacterium conceptionense | tr|A0A0U1DVX5|A0A0U1DVX5_9MYCO
193_NarI,Mycolicibacterium fortuitum (Mycobacterium fortuitum) | tr|A0A0N9YEX9|A0A0N9YEX9_MYCFO
194_NarI,Mycolicibacterium fortuitum (Mycobacterium fortuitum) | tr|A0A7Y4PVJ3|A0A7Y4PVJ3_MYCFO
195_NarI,Mycolicibacterium gilvum PYR-GCK | 350054.Mflv_2159
196_NarI,Mycolicibacterium mageritense DSM 44476 = CIP 104973 | 1209984.BN978_05422
197_NarI,Mycolicibacterium mucogenicum | tr|A0A4R5WKJ0|A0A4R5WKJ0_9MYCO
198_NarI,Mycolicibacterium neoaurum (Mycobacterium neoaurum) | tr|A0A8E5RG36|A0A8E5RG36_MYCNE
199_NarI,Mycolicibacterium peregrinum (Mycobacterium peregrinum) | tr|A0A4Z0HG03|A0A4Z0HG03_MYCPR
200_NarI,Mycolicibacterium peregrinum (Mycobacterium peregrinum) | tr|A0A4Z0HMX6|A0A4Z0HMX6_MYCPR
201_NarI,Mycolicibacterium phlei RIVM601174 | 1150599.MPHLEI_24424
202_NarI,Mycolicibacterium rhodesiae NBB3 | 710685.MycrhN_6023
203_NarI,Mycolicibacterium septicum DSM 44393 | 1341646.CBMO010000108_gene4304
204_NarI,Mycolicibacterium septicum DSM 44393 | 1341646.CBMO010000128_gene3306
205_NarI,Mycolicibacterium septicum | tr|A0A895CP44|A0A895CP44_9MYCO
206_NarI,Mycolicibacterium smegmatis MC2 155 | 246196.MSMEI_5005
207_NarI,Mycolicibacterium sp. | tr|A0A433BJN1|A0A433BJN1_9MYCO
208_NarI,Mycolicibacterium sp. | tr|A0A433C0G9|A0A433C0G9_9MYCO
209_NarI,Mycolicibacterium sp. CBMA 247 | tr|A0A7K1KBM8|A0A7K1KBM8_9MYCO
210_NarI,Mycolicibacterium sp. CBMA 247 | tr|A0A7K1KFD5|A0A7K1KFD5_9MYCO
211_NarI,Mycolicibacterium sp. GF69 | tr|A0A329M266|A0A329M266_9MYCO
212_NarI,Mycolicibacterium sp. P1-5 | tr|A0A5A7Z3L1|A0A5A7Z3L1_9MYCO
213_NarI,Mycolicibacterium sp. P9-64 | tr|A0A5A7WGH7|A0A5A7WGH7_9MYCO
214_NarI,Mycolicibacterium thermoresistibile ATCC 19527 | 1078020.KEK_13333
215_NarI,Mycolicibacterium tusciae JS617 | 710687.KI912270_gene2068
216_NarI,Mycolicibacterium vaccae ATCC 25954 | 1194972.MVAC_27509
217_NarI,Mycolicibacterium vanbaalenii PYR-1 | 350058.Mvan_4543
218_NarI,Antrihabitans stalactiti | tr|A0A848KCH7|A0A848KCH7_9NOCA
219_NarI,Nocardia aobensis NBRC 100429 | 1206720.BAFQ01000094_gene2331
220_NarI,Nocardia aobensis NBRC 100429 | 1206720.BAFQ01000148_gene3805
221_NarI,Nocardia asteroides NBRC 15531 | 1110697.NCAST_20_01560
222_NarI,Nocardia asteroides NBRC 15531 | 1110697.NCAST_33_01740
223_NarI,Nocardia brasiliensis ATCC 700358 | 1133849.O3I_008240
224_NarI,Nocardia brasiliensis ATCC 700358 | 1133849.O3I_022165
225_NarI,Nocardia brasiliensis ATCC 700358 | 1133849.O3I_034755
226_NarI,Nocardia brasiliensis ATCC 700358 | 1133849.O3I_041175
227_NarI,Nocardia brasiliensis | tr|A0A6G9XTF8|A0A6G9XTF8_9NOCA
228_NarI,Nocardia brasiliensis | tr|A0A6G9XY13|A0A6G9XY13_9NOCA
229_NarI,Nocardia carnea NBRC 14403 | 1206726.BAFV01000013_gene627
230_NarI,Nocardia carnea NBRC 14403 | 1206726.BAFV01000055_gene3946
231_NarI,Nocardia concava NBRC 100430 | 1206741.BAFX01000010_gene6790
232_NarI,Nocardia concava NBRC 100430 | 1206741.BAFX01000010_gene6797
233_NarI,Nocardia concava NBRC 100430 | 1206741.BAFX01000109_gene7466
234_NarI,Nocardia concava NBRC 100430 | 1206741.BAFX01000205_gene280
235_NarI,Nocardia coubleae | tr|A0A846W6L4|A0A846W6L4_9NOCA
236_NarI,Nocardia cyriacigeorgica GUH-2 | 1127134.NOCYR_2525
237_NarI,Nocardia cyriacigeorgica GUH-2 | 1127134.NOCYR_2939
238_NarI,Nocardia cyriacigeorgica GUH-2 | 1127134.NOCYR_4276
239_NarI,Nocardia cyriacigeorgica | tr|A0A2L2JRU6|A0A2L2JRU6_9NOCA
240_NarI,Nocardia cyriacigeorgica | tr|A0A6M0KMD7|A0A6M0KMD7_9NOCA
241_NarI,Nocardia cyriacigeorgica | tr|A0A6P1CNB8|A0A6P1CNB8_9NOCA
242_NarI,Nocardia cyriacigeorgica | tr|A0A6P1D449|A0A6P1D449_9NOCA
243_NarI,Nocardia exalbida NBRC 100660 | 1206729.BAFZ01000089_gene2524
244_NarI,Nocardia farcinica IFM 10152 | 247156.NFA_45520
245_NarI,Nocardia flavorosea | tr|A0A846Y8Y6|A0A846Y8Y6_9NOCA
246_NarI,Nocardia flavorosea | tr|A0A846YRC8|A0A846YRC8_9NOCA
247_NarI,Nocardia gamkensis | tr|A0A7X6L4C3|A0A7X6L4C3_9NOCA
248_NarI,Nocardia higoensis NBRC 100133 | 1206730.BAGA01000114_gene5280
249_NarI,Nocardia iowensis | tr|A0A8F5NN54|A0A8F5NN54_NOCIO
250_NarI,Nocardia jiangxiensis NBRC 101359 | 1206731.BAGB01000012_gene2691
251_NarI,Nocardia jiangxiensis NBRC 101359 | 1206731.BAGB01000028_gene683
252_NarI,Nocardia jiangxiensis NBRC 101359 | 1206731.BAGB01000076_gene6739
253_NarI,Nocardia niigatensis NBRC 100131 | 1206733.BAGC01000044_gene1101
254_NarI,Nocardia niigatensis NBRC 100131 | 1206733.BAGC01000053_gene3090
255_NarI,Nocardia niigatensis NBRC 100131 | 1206733.BAGC01000113_gene7449
256_NarI,Nocardia nova SH22a | 1415166.NONO_c14450
257_NarI,Nocardia nova SH22a | 1415166.NONO_c40110
258_NarI,Nocardia nova | tr|A0A2S6ADP6|A0A2S6ADP6_9NOCA
259_NarI,Nocardia otitidiscaviarum NBRC 14405 | 1206732.BAGD01000100_gene4446
260_NarI,Nocardia otitidiscaviarum NBRC 14405 | 1206732.BAGD01000273_gene6092
261_NarI,Nocardia otitidiscaviarum NBRC 14405 | 1206732.BAGD01000278_gene6379
262_NarI,Nocardia pneumoniae NBRC 100136 | 1206737.BAGF01000060_gene3996
263_NarI,Nocardia pneumoniae NBRC 100136 | 1206737.BAGF01000150_gene6150
264_NarI,Nocardia rhamnosiphila | 426716.JOAJ01000005_gene2580
265_NarI,Nocardia rhamnosiphila | 426716.JOAJ01000007_gene4393
266_NarI,Nocardia seriolae | tr|A0A0B8NBG9|A0A0B8NBG9_9NOCA
267_NarI,Nocardia seriolae | tr|A0A0B8NHJ8|A0A0B8NHJ8_9NOCA
268_NarI,Nocardia sp. BMG111209 | 1160137.KB907307_gene4264
269_NarI,Nocardia sp. BMG111209 | 1160137.KB907308_gene7684
270_NarI,Nocardia sp. BMG51109 | 1056816.JAFQ01000004_gene240
271_NarI,Nocardia sp. BMG51109 | 1056816.JAFQ01000004_gene509
272_NarI,Nocardia sp. BMG51109 | 1056816.JAFQ01000004_gene5694
273_NarI,Nocardia sp. CNY236 | 1169152.AXVD01000026_gene2674
274_NarI,Nocardia sp. CS682 | tr|A0A4P7GXI5|A0A4P7GXI5_9NOCA
275_NarI,Nocardia sp. CT2-14 | tr|A0A6I3KUG3|A0A6I3KUG3_9NOCA
276_NarI,Nocardia sp. MDA0666 | tr|A0A2T2ZGR5|A0A2T2ZGR5_9NOCA
277_NarI,Nocardia sp. SYP-A9097 | tr|A0A6I2FRL7|A0A6I2FRL7_9NOCA
278_NarI,Nocardia sp. WCH-YHL-001 | tr|A0A7D6YZJ0|A0A7D6YZJ0_9NOCA
279_NarI,Nocardia sp. WCH-YHL-001 | tr|A0A7D6ZK07|A0A7D6ZK07_9NOCA
280_NarI,Nocardia speluncae | tr|A0A846XPS9|A0A846XPS9_9NOCA
281_NarI,Nocardia stercoris | tr|A0A3M2LCP9|A0A3M2LCP9_9NOCA
282_NarI,Nocardia takedensis NBRC 100417 | 1206735.BAGG01000047_gene2027
283_NarI,Nocardia takedensis NBRC 100417 | 1206735.BAGG01000095_gene4165
284_NarI,Nocardia tengchongensis | tr|A0A8E5R9U4|A0A8E5R9U4_9NOCA
285_NarI,Nocardia terpenica | tr|A0A6G9Z3Z3|A0A6G9Z3Z3_9NOCA
286_NarI,Nocardia terrae | tr|A0A7K1UW46|A0A7K1UW46_9NOCA
287_NarI,Nocardia terrae | tr|A0A7K1V3E4|A0A7K1V3E4_9NOCA
288_NarI,Nocardia terrae | tr|A0A7K1V761|A0A7K1V761_9NOCA
289_NarI,Nocardia testacea NBRC 100365 | 1206739.BAGJ01000135_gene743
290_NarI,Nocardia testacea NBRC 100365 | 1206739.BAGJ01000136_gene6371
291_NarI,Nocardia transvalensis NBRC 15921 | 1206744.BAGL01000050_gene917
292_NarI,Nocardia transvalensis NBRC 15921 | 1206744.BAGL01000066_gene4855
293_NarI,Nocardia transvalensis NBRC 15921 | 1206744.BAGL01000070_gene5163
294_NarI,Nocardia uniformis | tr|A0A849C3T0|A0A849C3T0_9NOCA
295_NarI,Nocardia vermiculata | tr|A0A846XYR3|A0A846XYR3_9NOCA
296_NarI,Nocardia vermiculata | tr|A0A846Y266|A0A846Y266_9NOCA
297_NarI,Nocardia veterana NBRC 100344 | 1206743.BAGM01000101_gene2519
298_NarI,Nocardia yunnanensis | tr|A0A386Z7G6|A0A386Z7G6_9NOCA
299_NarI,Nocardia yunnanensis | tr|A0A386ZLN8|A0A386ZLN8_9NOCA
300_NarI,Rhodococcus defluvii | 1323361.JPOC01000040_gene4231
301_NarI,Rhodococcus defluvii | 1323361.JPOC01000040_gene4235
302_NarI,Rhodococcus hoagii 103S | 685727.REQ_04200
303_NarI,Rhodococcus hoagii 103S | 685727.REQ_04240
304_NarI,Rhodococcus globerulus | tr|A0A8F7L665|A0A8F7L665_RHOGO
305_NarI,Rhodococcus koreensis | tr|A0A897D564|A0A897D564_9NOCA
306_NarI,Rhodococcus oryzae | tr|A0A4U0QQD2|A0A4U0QQD2_9NOCA
307_NarI,Rhodococcus pyridinivorans SB3094 | 1435356.Y013_01375
308_NarI,Rhodococcus qingshengii | tr|A0A069J647|A0A069J647_9NOCA
309_NarI,Rhodococcus rhodnii LMG 5362 | 1273125.Rrhod_1908
310_NarI,Rhodococcus rhodochrous ATCC 21198 | 1429046.RR21198_1930
311_NarI,Rhodococcus ruber Chol-4 | 1240349.ANGC01000012_gene428
312_NarI,Rhodococcus sp. | tr|A0A520FI29|A0A520FI29_RHOSO
313_NarI,Rhodococcus sp. | tr|A0A7X7GHA9|A0A7X7GHA9_RHOSO
314_NarI,Rhodococcus sp. 14-2483-1-2 | tr|A0A260VSJ7|A0A260VSJ7_9NOCA
315_NarI,Rhodococcus sp. 15-2388-1-1a | tr|A0A260SHV9|A0A260SHV9_9NOCA
316_NarI,Rhodococcus sp. ACPA4 | tr|A0A2A3FCB5|A0A2A3FCB5_9NOCA
317_NarI,Rhodococcus sp. BL-253-APC-6A1W | tr|A0A7X9R2X8|A0A7X9R2X8_9NOCA
318_NarI,Rhodococcus sp. KBW08 | tr|A0A3N7DWR5|A0A3N7DWR5_9NOCA
319_NarI,Rhodococcus sp. PAMC28705 | tr|A0A4P7RFX6|A0A4P7RFX6_9NOCA
320_NarI,Rhodococcus sp. R79 | tr|A0A897DDK3|A0A897DDK3_9NOCA
321_NarI,Rhodococcus sp. R79 | tr|A0A897DEE6|A0A897DEE6_9NOCA
