Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAQ10308  coded_by=<1..533,organism=methanotrophic bacterium LK5,definition=particulate methane monooxygenase	XmoA	3	174	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae	1.0	55	6.1e-88	0.759086375	0.1706	0.0426,0.049,0.079
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AEF15856  coded_by=<1..>533,organism=Methylomonas sp. M5,definition=particulate methane monooxygenase	XmoA	1	177	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__Methylomonas methanica	1.0	56	1.8e-97	1.0	0.0709	0.0486,0.0223,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAG16907  coded_by=<1..>495,organism=methanotroph FL-DIKO,definition=particulate methane monooxygenase protein A	XmoA	1	165	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus; s__Methylococcus capsulatus	1.0	59	4.3e-87	1.0	0.0563	0.0001,0.0562,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAD02578  coded_by=<1..>529,organism=thermophilic methanotroph HB,definition=particulate methane monooxygenase	XmoA	1	176	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylothermaceae; g__Methylohalobius	1.0	60	8.8e-96	1.0	0.0856	0.047,0.0386,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AET10423  coded_by=<1..>586,organism=Nitrososphaera sp. JG1,definition=ammonia monooxygenase subunit A	XmoA	1	195	r__Root; d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaera; s__Candidatus Nitrososphaera evergladensis	1.0	1	7.5e-57	1.0	0.0296	0.0059,0.0236,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABB69922  coded_by=<1..>626,organism=Nitrosospira sp. NIJS16,definition=ammonia monooxygenase subunit A	XmoA	1	190	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__Nitrosospira multiformis	1.0	18	3.6e-85	1.0	0.0456	0.0043,0.0413,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABD13901  coded_by=<1..>528,organism=Methylosoma difficile,definition=particulate methane monooxygenase A-subunit	XmoA	1	176	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__Methylobacter tundripaludum	1.0	52	4.6e-97	1.0	0.075	0.0295,0.0455,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAA87217  coded_by=<1..>495,organism=Methylomicrobium album BG8,definition=particulate methane monooxygenase	XmoA	1	165	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomicrobium; s__Methylomicrobium album	1.0	54	7.6e-87	1.0	0.0064	0.0001,0.0063,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAC61804  coded_by=<1..>495,organism=Methylomicrobium pelagicum,definition=methane monooxygenase	XmoA	1	165	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae	1.0	55	1.1e-84	1.0	0.1754	0.0285,0.0679,0.079
p_amoA_FunGene9.5_isolates_C65S300_uclust99	CDM21890  coded_by=<1..>496,organism=Methylomonas sp. R-49799,definition=particulate methane monooxygenase, subunit A protein	XmoA	2	165	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__Methylomonas methanica	1.0	56	3.7e-88	1.0	0.0189	0.0094,0.0094,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAM44822  coded_by=<1..>522,organism=Methylocaldum sp. ML184,definition=particulate methane monooxygenase subunit A	XmoA	1	174	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus	1.0	59	8.2e-91	1.0	0.1483	0.0269,0.1214,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAK78887  coded_by=<1..>495,organism=Methylomagnum ishizawai,definition=particulate methane monooxygenase subunit alpha	XmoA	1	165	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus	1.0	59	1.2e-85	1.0	0.1407	0.0328,0.1079,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	EPA04544  coded_by=25635..26162,organism=Candidatus Nitrosoarchaeum limnia BG20,definition=hypothetical protein	XmoA	1	175	r__Root; d__Archaea; p__Thaumarchaeota	1.0	0	3.7e-45	1.0	0.0411	0.0253,0.0157,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	CAA62336  coded_by=<1..681,organism=Nitrosospira multiformis ATCC 25196,definition=ammonia monooxygenase protein	XmoA	1	202	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__Nitrosospira multiformis	1.0	18	9.1e-97	1.0	0.01	0.0001,0.0099,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAB70518  coded_by=<1..>508,organism=Methylobacter sp. BB5.1,definition=particulate methane monooxygenase	XmoA	1	169	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter; s__Methylobacter tundripaludum	1.0	52	7.2e-93	1.0	0.0646	0.0326,0.032,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAB56133  coded_by=<1..>531,organism=Bathymodiolus symbiont pMMOA-1,definition=particulate methane monooxygenase subunit A	XmoA	1	177	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter	1.0	52	2.5e-97	1.0	0.1155	0.0238,0.0917,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAG13081  coded_by=<1..>508,organism=Methylosarcina lacus,definition=PmoA	XmoA	1	169	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomicrobium; s__Methylomicrobium album	1.0	54	6.9e-93	1.0	0.0291	0.0202,0.009,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	CCH22593  coded_by=<1..>532,organism=Methylomonas paludis,definition=particulate methane monooxygenase active-site polypeptide	XmoA	1	177	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__Methylomonas methanica	1.0	56	1.1e-96	1.0	0.0587	0.0446,0.0141,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAM37124  coded_by=<1..>508,organism=Methylomonas sp. B2Z,definition=particulate methane monooxygenase alpha subunit	XmoA	1	169	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__Methylomonas methanica	1.0	56	3e-92	1.0	0.0445	0.0198,0.0247,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAC04381  coded_by=<1..>529,organism=Methylocaldum szegediense,definition=particulate methane monooxygenase	XmoA	1	176	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus	1.0	59	3.9e-92	1.0	0.1652	0.0391,0.1261,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAQ10311  coded_by=<1..529,organism=Methylococcus capsulatus,definition=particulate methane monooxygenase	XmoA	3	173	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus; s__Methylococcus capsulatus	1.0	59	4.6e-90	1.0	0.0123	0.0056,0.0067,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AMH87091  coded_by=<1..>592,organism=Candidatus Nitrosocosmicus franklandus,definition=ammonia monooxygenase	XmoA	1	197	r__Root; d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaera	1.0	1	2.7e-55	1.0	0.0991	0.0799,0.0192,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABB69919  coded_by=<1..>626,organism=Nitrosospira sp. GS832,definition=ammonia monooxygenase subunit A	XmoA	1	190	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__Nitrosospira multiformis	1.0	18	5.4e-85	1.0	0.076	0.022,0.054,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	CAL47025  coded_by=<1..>509,organism=bacterial endosymbiont of Idas sp.,definition=particulate methane monooxygenase alpha subunit	XmoA	1	169	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylobacter	1.0	52	1.9e-91	1.0	0.1324	0.0327,0.0997,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AEF15857  coded_by=<1..>533,organism=Methylococcaceae bacterium M200,definition=particulate methane monooxygenase	XmoA	1	177	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae	1.0	55	1.7e-97	0.7182796976	0.1572	0.0365,0.0418,0.079
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAM44820  coded_by=<1..>503,organism=Methylomonas sp. ML04,definition=particulate methane monooxygenase subunit A	XmoA	1	168	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__Methylomonas methanica	1.0	56	9.3e-90	1.0	0.0367	0.0104,0.0264,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAL04120  coded_by=<1..>508,organism=Methyloparacoccus murrellii,definition=particulate methane monooxygenase alpha-subunit	XmoA	1	169	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus	1.0	59	1.4e-91	1.0	0.0971	0.0004,0.0967,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AII16085  coded_by=<1..>492,organism=Nitrosomonas europaea,definition=ammonia monooxygenase subunit A	XmoA	1	164	r__Root	1.0	69	4.6e-40	1.0	4.3902	0.045,0.1054,4.2399
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AHZ90671  coded_by=<1..>587,organism=Nitrosotalea sp. Nd2,definition=ammonia monooxygenase subunit A	XmoA	1	195	r__Root	1.0	69	1.2e-52	1.0	4.372	0.0506,0.0815,4.2399
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABY83788  coded_by=1220..>1834,organism=Candidatus Nitrosocaldus yellowstonii,definition=putative archaeal ammonia monooxygenase subunit A	XmoA	1	205	r__Root; d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaera	1.0	1	5.4e-53	1.0	0.2014	0.0439,0.1575,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ACD83564  coded_by=complement(1408355..1409104),organism=Methylacidiphilum infernorum V4,definition=Particulate methane monoxygenase beta (PmoA) subunit	XmoA	1	247	r__Root; d__Bacteria; p__Verrucomicrobia; c__Methylacidiphilae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__Methylacidiphilum; s__Methylacidiphilum fumariolicum	1.0	12	1.5e-116	1.0	0.0703	0.0368,0.0336,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ABM54175  coded_by=<1..>725,organism=Nitrosospira sp. Wyke8,definition=AmoA	XmoA	1	235	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__Nitrosospira multiformis	1.0	18	3.7e-110	1.0	0.0537	0.0381,0.0156,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ACE95893  coded_by=1204..1956,organism=Methylomonas methanica,definition=particulate methane monooxygenase subunit A-like protein	XmoA	7	250	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomicrobium	1.0	26	1.4e-100	1.0	0.1384	0.033,0.1054,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ATQ68209  coded_by=complement(2151261..2152019),organism=Methylosinus trichosporium OB3b,definition=methane monooxygenase/ammonia monooxygenase subunit A	XmoA	9	252	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylocystaceae; g__Methylosinus; s__Methylosinus trichosporium	1.0	38	8.7e-114	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AEF98753  coded_by=328665..329414,organism=Methylomonas methanica MC09,definition=methane monooxygenase/ammonia monooxygenase, subunit A	XmoA	1	246	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__Methylomonas methanica	1.0	56	1.6e-124	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAO51827  coded_by=1..744,organism=Methylocaldum marinum,definition=particulate methane monooxygenase	XmoA	1	247	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus	1.0	59	4.7e-121	1.0	0.1368	0.0549,0.0819,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAM38059  coded_by=3278..4135,organism=Haliea sp. ETY-NAG,definition=putative ethylene monooxygenase protein A	XmoA	12	255	r__Root	1.0	30	3.9e-94	0.9999990168	1.1236	0.1783,0.6172,0.328
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AJM93357  coded_by=complement(1690227..1690877),organism=Candidatus Nitrosopumilus piranensis,definition=ammonia monooxygenase, subunit A	XmoA	1	216	r__Root; d__Archaea; p__Thaumarchaeota	1.0	0	2.7e-60	1.0	0.0002	0.0001,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ACK55192  coded_by=1..738,organism=Methylacidiphilum kamchatkense,definition=PmoA2	XmoA	1	243	r__Root; d__Bacteria; p__Verrucomicrobia; c__Methylacidiphilae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__Methylacidiphilum; s__Methylacidiphilum fumariolicum	1.0	11	2.8e-113	1.0	0.0037	0.0036,0.0001,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ACK55191  coded_by=1..861,organism=Methylacidiphilum kamchatkense,definition=PmoA1	XmoA	39	284	r__Root; d__Bacteria; p__Verrucomicrobia; c__Methylacidiphilae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__Methylacidiphilum; s__Methylacidiphilum fumariolicum	1.0	12	6.1e-118	1.0	0.0347	0.0246,0.0101,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AEJ00940  coded_by=1183040..1183864,organism=Nitrosomonas sp. Is79A3,definition=methane monooxygenase/ammonia monooxygenase, subunit A	XmoA	4	250	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__Nitrosomonas sp. Is79A3	1.0	17	1.1e-112	1.0	0.0197	0.0001,0.0196,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAB53437  coded_by=1289..2113,organism=Nitrosospira sp. NpAV,definition=ammonia monooxygenase 3 subunit A	XmoA	4	250	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__Nitrosospira multiformis	1.0	18	3.7e-111	1.0	0.065	0.0266,0.0384,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAB38709  coded_by=36..860,organism=Nitrosospira briensis,definition=ammonia-monooxygenase subunit A	XmoA	4	250	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__Nitrosospira multiformis	1.0	18	4.4e-112	1.0	0.0767	0.0244,0.0523,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ACE95890  coded_by=1561..2313,organism=Methylomonas sp. LW13,definition=particulate methane monooxygenase subunit A-like protein	XmoA	7	250	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomicrobium	1.0	26	8e-101	1.0	0.1384	0.033,0.1054,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	CAE48352  coded_by=11186..11956,organism=Methylocystis sp. SC2,definition=Methylocystis strain SC2 clone, complete sequence	XmoA	8	254	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylocystaceae; g__Methylocystis; s__Methylocystis sp. SC2	1.0	33	1.6e-115	1.0	0.0144	0.0045,0.0099,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AHI95955  coded_by=1087..1845,organism=Methylocystis sp. JTC3,definition=particulate methane monooxygenase subunit A	XmoA	8	252	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylocystaceae; g__Methylocystis; s__Methylocystis sp. SB2	1.0	39	3e-112	1.0	0.0725	0.0207,0.0518,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAJ17641  coded_by=2909..3652,organism=Methylovulum miyakonense HT12,definition=particulate methane monooxygenase A-subunit	XmoA	1	247	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae	1.0	57	1.4e-125	0.9395179509	0.1715	0.0213,0.0342,0.116
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAH22845  coded_by=1350..2099,organism=Methylococcaceae bacterium SF-BR,definition=methane monooxygenase protein A	XmoA	1	246	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas	1.0	56	3.1e-123	1.0	0.1148	0.0642,0.0506,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAE86885  coded_by=1229..1972,organism=Methylomicrobium japanense,definition=methane monooxygenase protein A	XmoA	1	247	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae	1.0	57	3.5e-125	1.0	0.1679	0.0143,0.0376,0.116
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAH22836  coded_by=1268..2077,organism=Methylococcaceae bacterium ET-HIRO,definition=methane monooxygenase protein A1	XmoA	11	254	r__Root	1.0	67	4.8e-94	1.0	1.5066	0.143,0.6095,0.7542
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAH22830  coded_by=1142..1954,organism=Methylococcaceae bacterium ET-SHO,definition=methane monooxygenase protein A1	XmoA	9	254	r__Root	1.0	67	3.9e-94	1.0	1.5004	0.1528,0.5934,0.7542
p_amoA_FunGene9.5_isolates_C65S300_uclust99	CDI06186  coded_by=complement(276940..277590),organism=Thaumarchaeota archaeon N4,definition=putative ammonia monooxygenase subunit A	XmoA	1	216	r__Root	1.0	69	4.2e-59	0.9983291395	4.337	0.0776,0.0195,4.2399
p_amoA_FunGene9.5_isolates_C65S300_uclust99	ADZ25731  coded_by=689621..690445,organism=Nitrosomonas sp. AL212,definition=methane monooxygenase/ammonia monooxygenase, subunit A	XmoA	4	250	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__Nitrosomonas sp. Is79A3	1.0	17	2.1e-111	1.0	0.0604	0.0122,0.0482,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	AAB70814  coded_by=1..825,organism=Nitrosospira sp. Np39-19,definition=ammonia monooxygenase subunit A2	XmoA	4	250	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira	1.0	18	9.2e-111	1.0	0.0904	0.0312,0.0592,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	CAJ01617  coded_by=40218..41105,organism=Methylocapsa acidiphila,definition=methane monooxygenase subunit A, pmoA	XmoA	49	295	r__Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Beijerinckiaceae; g__Methylocapsa; s__Methylocapsa acidiphila	1.0	42	3e-115	1.0	0.0386	0.035,0.0036,0.0
p_amoA_FunGene9.5_isolates_C65S300_uclust99	BAH22842  coded_by=1453..2202,organism=Methylomarinum vadi,definition=methane monooxygenase protein A	XmoA	1	246	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__Methylomonas methanica	1.0	56	1.5e-124	1.0	0.0464	0.0318,0.0146,0.0
